START_ID,END_ID,round,date
100,7143,天使轮,2013-04-12
100,15193,,2017-12-28
101,5423,A轮,2016-12-09
102,11034,A轮,2018-04-04
103,15092,A轮,2019-04-17
103,15092,,2019-05-12
104,5614,A轮,2012-12-31
104,5614,A轮,2012-12-31
105,15256,新三板定增,2018-03-06
106,11921,,2018-05-21
107,6173,B轮,2018-10-12
107,5941,D轮,2018-07-23
107,5941,D轮,2019-05-08
107,5941,D轮,2018-07-23
108,11597,天使轮,2019-01-30
109,11808,,2018-09-12
110,5567,B轮,2010-02-03
110,5567,B轮,2010-02-03
110,5694,,2012-04-30
110,5721,B轮,2013-12-16
110,5567,A轮,2008-12-19
110,11602,A轮,2008-05-30
111,6113,新三板定增,2016-02-03
112,6223,B轮,2017-02-01
112,11263,A轮,2015-11-18
113,6051,A轮,2017-09-15
114,5399,新三板定增,2019-03-27
114,5399,新三板定增,2019-03-27
115,5958,A轮,2016-11-01
115,5903,C轮,2019-01-07
116,5430,天使轮,2010-11-26
117,11749,A轮,2014-09-30
117,11749,A轮,2014-09-30
118,5779,,2018-12-03
119,6354,新三板定增,2017-08-14
120,5534,A轮,2010-07-23
120,5686,A轮,2012-07-01
120,5534,A轮,2010-07-23
120,5686,A轮,2012-07-01
120,5422,天使轮,2017-10-27
120,5864,D轮,2018-09-19
120,6155,A轮,2018-07-11
120,6249,A+轮,2018-06-28
120,6081,A轮,2018-05-31
120,6482,A轮,2016-12-02
120,6693,D轮,2018-05-21
120,6249,,2018-05-31
120,6890,A轮,2010-01-28
120,11565,E轮,2019-08-13
120,10660,A轮,2010-12-01
120,5579,A轮,2010-12-01
120,11771,A轮,2015-11-30
120,6249,A轮,2018-05-31
120,11787,B轮,2018-08-29
120,5864,B轮,2015-11-27
120,11261,A轮,2008-05-06
120,15141,A轮,2011-03-09
120,5390,,2016-10-17
120,6227,,2017-12-26
120,6693,D轮,2018-05-21
121,6012,B轮,2017-12-11
122,11911,,2018-08-21
123,11711,新三板定增,2018-08-02
124,6480,新三板定增,2016-12-07
125,5453,IPO轮,2017-06-20
126,6672,IPO轮,2016-01-27
127,6249,A轮,2016-12-01
128,5712,D轮,2016-04-18
128,6143,A轮,2016-12-29
129,11673,B轮,2014-11-18
130,15084,A轮,2018-01-09
131,11950,IPO轮,2018-01-24
