id:ID,Label,name
182,Investor,芜湖远大创投
183,Investor,浙农科业
184,Investor,澳大利亚未来基金
185,Investor,广发信德-广发证券
186,Investor,星汉医药
187,Investor,成为资本
188,Investor,君合银丰
189,Investor,武汉达润投资管理有限公司
190,Investor,领军人才创投引导基金
191,Investor,以太创服(以太资本)
192,Investor,富士康
193,Investor,易联资本
194,Investor,无锡创投集团
195,Investor,思佰益
196,Investor,云锋新创
197,Investor,中联投控股股份有限公司
198,Investor,上海证大投资管理有限公司
199,Investor,中金国联投资
200,Investor,博源基金
201,Investor,隐山资本
202,Investor,天烁投资
203,Investor,敦鸿资产
204,Investor,长安财富资产管理有限公司-长安资产景林新三板投资专项资产管理计划
205,Investor,青云创投
206,Investor,昌途投资
207,Investor,东证洛宏(嘉兴)投资合伙企业(有限合伙)
208,Investor,首誉光控
209,Investor,KTB投资集团
210,Investor,裕德投资
211,Investor,安持资本
212,Investor,平安鼎创
213,Investor,蓝山投资
214,Investor,中芯聚源
215,Investor,中科招商股权投资
216,Investor,清松资本
217,Investor,六禾投资
218,Investor,中鼎资本
219,Investor,兰馨亚洲
220,Investor,36氪
221,Investor,浙江方向投资有限公司
222,Investor,TCL创投
223,Investor,海通兴泰(安徽)新兴产业投资基金(有限合伙)
224,Investor,深圳南方创投
225,Investor,国药资本
226,Investor,品观网
227,Investor,PNP
228,Investor,高通Qualcomm Ventures
229,Investor,中新苏州工业园区创业投资有限公司
230,Investor,宏利创新投资
231,Investor,平安创新资本
232,Investor,盈实基金
233,Investor,嘉兴同系天旭投资合伙企业(有限合伙)
234,Investor,海厚泰资本
235,Investor,浙江联合中小企业控股集团有限公司
236,Investor,张家港保税区十月海昌投资管理合伙企业(有限合伙)
237,Investor,Alliance RNM
238,Investor,九泰基金--新三板18号资产管理计划(管理人:九泰基金管理有限公司)
239,Investor,成都创客企业管理咨询合伙企业(有限合伙)
240,Investor,高捷金台创投
241,Investor,奥飞娱乐股份有限公司
242,Investor,新昶虹
243,Investor,明源软件
244,Investor,浙大网新
245,Investor,北京凯联会资产管理有限公司
246,Investor,庆芮资本
247,Investor,墨白资本
248,Investor,浙商证券资管-农业银行-浙商金惠先锋1号集合资产管理计划
249,Investor,海达投资
250,Investor,北京融嘉汇能投资管理中心(有限合伙)
251,Investor,深圳市万物成长创业投资有限责任公司
252,Investor,乐搏资本
253,Investor,青岛华通科技创新投资中心(有限合伙)
254,Investor,广东海富投资管理有限公司
255,Investor,清瑞股权投资基金
256,Investor,鼎珮投资
257,Investor,险峰长青
258,Investor,Brizan Ventures
259,Investor,贵安创投
260,Investor,华创策源
261,Investor,基汇资本
262,Investor,吴江创迅创投
263,Investor,谢诺辰阳
264,Investor,阳光保险
265,Investor,宁波梅山保税港云懿投资
266,Investor,顺丰控股
267,Investor,上海经宏
268,Investor,领复资产管理
269,Investor,东湖国隆
270,Investor,浙商汇融投资
271,Investor,博润创投
272,Investor,朴素资本
273,Investor,陈亨明
274,Investor,弘治资本
275,Investor,德鑫创投
276,Investor,上海宝鼎爱平投资合伙企业(有限合伙)
277,Investor,嘉兴部道投资
278,Investor,重庆两江新区战略性新兴产业股权投资
279,Investor,太冠资本
280,Investor,香港水木投资
281,Investor,速会基金新三板成长1号私募投资基金
282,Investor,歌尔股份
283,Investor,鹰发集团
284,Investor,元禾璞华
285,Investor,联创资本
286,Investor,东湖创投
287,Investor,凯盈投资
288,Investor,JONGMI
289,Investor,茂榕投资
290,Investor,北京中泰创汇投资
291,Investor,兴业资管-兴业证券
292,Investor,深圳先驱投资管理有限公司
293,Investor,温州海汇金投创业投资企业(有限合伙)
294,Investor,上海沓磊投资管理合伙企业(有限合伙)
295,Investor,在册员工
296,Investor,湖北交投资本
297,Investor,信达澳银基金管理有限公司
298,Investor,深圳大唐汇金产业投资基金合伙企业(有限合伙)
299,Investor,江苏和泰投资
300,Investor,首创证券有限责任公司
301,Investor,嘉实基金管理有限公司
302,Investor,子沐基金
303,Investor,智联招聘
304,Investor,线性资本
305,Investor,英诺天使基金
306,Investor,青岛市企业发展投资有限公司
307,Investor,赛伯乐
308,Investor,广州金控资产管理有限公司
309,Investor,国科投资
310,Investor,常州重道
311,Investor,中银集团投资有限公司
312,Investor,南方基金
313,Investor,诚通基金
314,Investor,广州逸道同源投资
315,Investor,石河子市隆华汇股权投资合伙企业(有限合伙)
316,Investor,深圳市汇杰投资有限公司
317,Investor,赛富资管
318,Investor,盈峰资本
319,Investor,广州广电运通金融电子股份有限公司
320,Investor,卓中投资
321,Investor,海尔赛富
322,Investor,渤海证券股份有限公司
323,Investor,比特大陆集团
324,Investor,科大控股
325,Investor,中以智教基金
326,Investor,国科嘉和
327,Investor,深圳优尼科投资
328,Investor,元达信资本-聚宝1号专项资产管理计划(管理人:元达信资本管理(北京)有限公司)
329,Investor,上海国泰君安证券资产管理有限公司
330,Investor,南方航空
331,Investor,上海国君创投隆盛投资中心(有限合伙)
332,Investor,天弘基金管理有限公司
333,Investor,深圳市达晨财智创业投资管理有限公司
334,Investor,中银基金
335,Investor,江苏沿海资本
336,Investor,吉盛传动
337,Investor,上海朱雀壬申投资中心(有限合伙)
338,Investor,湖州赛源股权投资合伙企业(有限合伙)
339,Investor,正居资本
340,Investor,昆仑万维
341,Investor,清源投资
342,Investor,深圳南海成长同赢股权投资基金(有限合伙)
343,Investor,尚融投资
344,Investor,九泰基金-工商银行-九泰基金-嘉禾9号资产管理计划
345,Investor,万豪创投
346,Investor,H Capital
347,Investor,广州慧创蚨祥裕酉投资合伙企业(有限合伙)
348,Investor,工银瑞信基金管理有限公司
349,Investor,天紫微投资
350,Investor,华金证券有限责任公司
351,Investor,中冀盛元
352,Investor,中日节能环保创投
353,Investor,中国航空技术深圳有限公司
354,Investor,苇渡资本
355,Investor,千合资本
356,Investor,淳信资本
357,Investor,鼎信泰和
358,Investor,上海必海
359,Investor,技转创投
360,Investor,人保资本股权投资
361,Investor,上海希通投资
362,Investor,飞马基金
363,Investor,科大讯飞
364,Investor,北京玖缘
365,Investor,红岭创投
366,Investor,西藏自治区投资有限公司
367,Investor,东方邦信创业投资有限公司
368,Investor,山东省金融资产管理股份有限公司
369,Investor,Wali International
370,Investor,帮实资本
371,Investor,理成转子新三板权益投资5号基金
372,Investor,KKR
373,Investor,溪山天使
374,Investor,武汉星云矩阵投资控股有限公司
375,Investor,海尔创投
376,Investor,浙江诸暨智能安防产业基金
377,Investor,蓝象资本
378,Investor,汉景家族办公室
379,Investor,建银投资
380,Investor,佛山比特时代伯乐壹号股权投资合伙企业(有限合伙)
381,Investor,远东宏信
382,Investor,前海深南创投
383,Investor,杭州市高科技投资有限公司
384,Investor,万丰锦源投资
385,Investor,丰年资本
386,Investor,新华联控股有限公司
387,Investor,中船投资
388,Investor,联想之星
389,Investor,蓝图创投
390,Investor,商裕投资
391,Investor,海捷投资
392,Investor,联合基金1号新三板基金
393,Investor,湖南潇湘致宜
394,Investor,粤民投
395,Investor,合肥敦勤新能投资中心(有限合伙)
396,Investor,上海百富网络信息技术有限公司
397,Investor,泰中合投资
398,Investor,北京国泰嘉泽创业投资中心(有限合伙)
399,Investor,鸿海集团
400,Investor,北京华耀山金创业投资合伙企业(有限合伙)
401,Investor,中原期货股份有限公司
402,Investor,完美世界
403,Investor,北京德丰杰龙脉资管
404,Investor,瑞鑫资管
405,Investor,嘉信元德股权投资基金
406,Investor,大连万达
407,Investor,凯兴睿进6号体育专项私募基金
408,Investor,银河系创投
409,Investor,深圳华青一期股权投资基金合伙企业(有限合伙)
410,Investor,深圳极星创投
411,Investor,北京精进资产
412,Investor,超级电
413,Investor,众合创投
414,Investor,申万菱信(上海)资产管理有限公司
415,Investor,德福资本
416,Investor,廊坊高科创新创投
417,Investor,中清正合科技创投
418,Investor,盈科资本
419,Investor,探针资本
420,Investor,横琴青鼎中泰股权投资基金(有限合伙)
421,Investor,杭州厚元投资合伙企业(有限合伙)
422,Investor,上海联一投资中心(有限合伙)
423,Investor,拉萨源驰投资
424,Investor,云南华信润城生物医药产业创业投资基金合伙企业(有限合伙)
425,Investor,上海汇勤投资
426,Investor,联动天翼
427,Investor,天安财产保险股份有限公司
428,Investor,杭州星引力创业投资合伙企业(有限合伙)
429,Investor,零度资本
430,Investor,东方星空投资
431,Investor,源科资本
432,Investor,中瑞创投
433,Investor,宏城创投
434,Investor,北京顺为创业投资有限公司
435,Investor,一扬嘉德
436,Investor,沅渡创投
437,Investor,赛富投资基金
438,Investor,江苏华睿新三板1号基金
439,Investor,InnoVen Capital
440,Investor,杭州惠尔森科技有限公司
441,Investor,维思资本
442,Investor,百盈孵化器
443,Investor,锐普文华(天津)投资中心(有限合伙)
444,Investor,旭阳控股有限公司
445,Investor,共青城中盈富腾投资管理合伙企业(有限合伙)
446,Investor,杭州华软投资
447,Investor,苏州协立
448,Investor,光谷人才基金
449,Investor,愉悦资本
450,Investor,Qiming Venture Partners II-C
451,Investor,陕西金河科技创业投资有限责任公司
452,Investor,同鑫能源
453,Investor,长江证券股份有限公司
454,Investor,零壹资管
455,Investor,源星资本
456,Investor,和通国际
457,Investor,零一创投
458,Investor,晟乾投资
459,Investor,深圳市领信基石股权投资合伙企业(有限合伙)
460,Investor,光大控股
461,Investor,鑫星融创投
462,Investor,广州越秀诺成六号实业投资合伙企业(有限合伙)
463,Investor,宁波梅山保税港区领慧投资合伙企业(有限合伙)
464,Investor,明曜投资
465,Investor,深圳一创兴晨投资合伙企业(有限合伙)
466,Investor,海得泽广
467,Investor,厦门群贤汇信投资合伙企业(有限合伙)
468,Investor,国是经纬
469,Investor,新余诚众棠投资管理中心(有限合伙)
470,Investor,深圳凯盈天成
471,Investor,极光大数据
472,Investor,深圳万联顺泽创业投资中心(有限合伙)
473,Investor,宛能实业
474,Investor,三禾创投
475,Investor,北京金寰投资管理中心(有限合伙)
476,Investor,深圳前海君盛紫石创业投资
477,Investor,华亿汇志股权投资
478,Investor,贝雅亚洲
479,Investor,招商财富
480,Investor,运满满
481,Investor,招商财富资产管理有限公司
482,Investor,新毅资产
483,Investor,东莞市荣造智造一号投资合伙企业(有限合伙)
484,Investor,艾云创管
485,Investor,广州基金
486,Investor,木华资本
487,Investor,软银中国
488,Investor,宁波思得投资
489,Investor,人民网
490,Investor,招银国际
491,Investor,中海达
492,Investor,北京中富
493,Investor,汇发中国基金
494,Investor,东莞市三藏坚石股权投资企业(有限合伙)
495,Investor,立元创投
496,Investor,大华银行
497,Investor,无锡苏民高科投
498,Investor,亦庄国际投资
499,Investor,新余市博尔丰投资管理中心(有限合伙)
500,Investor,坤业贸易
501,Investor,上海上国投资产管理有限公司
502,Investor,望桥资本
503,Investor,厚朴实业
504,Investor,科源投资
505,Investor,南京瑞联一号投资中心(有限合伙)
506,Investor,北京雨韵和丰创投
507,Investor,龙城富通
508,Investor,深圳君盛蓝湾投资企业(有限合伙)
509,Investor,申能诚毅
510,Investor,杭州凯复云度投资合伙企业(有限合伙)
511,Investor,邦信资产管理有限公司
512,Investor,成都高投创业投资有限公司
513,Investor,中金公司
514,Investor,鸿海集团Foxconn
515,Investor,盈风万润深圳创业投资中心(有限合伙)
516,Investor,千乘资本
517,Investor,上海创瑞
518,Investor,中电中金
519,Investor,华鼎资本北京
520,Investor,华西金智投资
521,Investor,诚道天华资本
522,Investor,宁波映记
523,Investor,深圳前海久安恩倍
524,Investor,国发股权基金
525,Investor,北京金拓资本
526,Investor,瑞丰基金
527,Investor,腾讯投资
528,Investor,山东融裕金谷创业投资有限公司
529,Investor,宁波人保远望二期投资中心(有限合伙)
530,Investor,晟和元资产
531,Investor,联创易富投资
532,Investor,北京明德博雅投资管理有限公司
533,Investor,中电健康基金
534,Investor,上海天适新股权投资中心(有限合伙)
535,Investor,海泉基金
536,Investor,南京捷源投资
537,Investor,武汉科投
538,Investor,华夏君悦
539,Investor,国新央企运营(广州)投资基金(有限合伙)
540,Investor,八二五新媒体产业基金
541,Investor,森马服饰
542,Investor,大恒战新产业
543,Investor,浙商产融
544,Investor,汇通天下
545,Investor,松江创投
546,Investor,成创投
547,Investor,盛景嘉成母基金
548,Investor,金永信投资
549,Investor,银华基金管理股份有限公司
550,Investor,山蓝资本
551,Investor,格安达(北京)资产管理有限公司-格安达创投私募基金一号
552,Investor,华昌资产管理有限公司
553,Investor,中银国际投资
554,Investor,Plug and Play
555,Investor,奇瑞汽车股份有限公司
556,Investor,中银国际投资有限责任公司
557,Investor,道达尔
558,Investor,源德汇金创投
559,Investor,华夏幸福北京投资
560,Investor,科金控股
561,Investor,达孜东方高圣秋实资产
562,Investor,鑫盛汇股权投资
563,Investor,老鹰基金
564,Investor,金砖丝路(深圳)股权投资合伙企业(有限合伙)
565,Investor,启迪科服投资北京
566,Investor,华人文化产业基金
567,Investor,青松基金
568,Investor,北京采思投资
569,Investor,沃肯有米新三板基金
570,Investor,天图资本
571,Investor,中海投资
572,Investor,朗江创投
573,Investor,上海火山石投资合伙企业
574,Investor,小乘登陆新三板
575,Investor,宁波梅山保税港区合勤同道股权投资合伙企业(有限合伙)
576,Investor,君润创投
577,Investor,科润创投
578,Investor,嘉盛兴业投资
579,Investor,南通百淼
580,Investor,银川育成凤凰科创基金合伙企业(有限合伙)
581,Investor,金海胜创投
582,Investor,曼图资本
583,Investor,新三板证券投资基金深圳市远致创业投资有限公司
584,Investor,科祥股权投资
585,Investor,娱乐工场
586,Investor,新同方投资
587,Investor,韩亚金融集团
588,Investor,杭州朝阳基金
589,Investor,明业沃成
590,Investor,招银股权投资
591,Investor,东海岸投资
592,Investor,成都蓉兴创业投资有限公司
593,Investor,宁波鼎锋明道投资管理合伙企业(有限合伙)(代表:鼎锋明道钜派新三板1号基金)
594,Investor,DCM资本
595,Investor,联德创投
596,Investor,菜鸟网络
597,Investor,金陀罗飞龙3号证券投资基金
598,Investor,春华资本Primavera
599,Investor,君丰资本
600,Investor,武汉众邦资产管理有限公司
601,Investor,东方富海(芜湖)
602,Investor,粤商创投
603,Investor,泉源合
604,Investor,国投创新
605,Investor,北京明德博雅投资
606,Investor,珪璋善微投资
607,Investor,索斯福投资
608,Investor,泰豪晟大投资
609,Investor,科学城投资
610,Investor,九阳股份
611,Investor,Withinlink碚曦投资
612,Investor,元泓创投
613,Investor,东证资本
614,Investor,道生福建投资
615,Investor,国家集成电路产业投资基金
616,Investor,高通投资
617,Investor,重庆文创基金
618,Investor,高小英
619,Investor,虎丘医疗
620,Investor,诺基亚
621,Investor,博时资本管理有限公司
622,Investor,力合创投
623,Investor,聚卓资本
624,Investor,明势资本
625,Investor,微软加速器
626,Investor,芜湖建信鼎信投资管理中心(有限合伙)
627,Investor,上海数字产业集团
628,Investor,淮安天泉成长型产投
629,Investor,杭州财通尤创创业投资合伙企业(有限合伙)
630,Investor,东方弘道资本
631,Investor,东莞市融易中以创业投资合伙企业(有限合伙)
632,Investor,华立集团
633,Investor,华睿点石
634,Investor,苏州华研投资
635,Investor,上海永宣
636,Investor,新天域资本
637,Investor,珠海中兵广发投资基金合伙企业(有限合伙)
638,Investor,浙商资本
639,Investor,力合清源
640,Investor,鼎晖源霖股权投资
641,Investor,方正证券股份有限公司
642,Investor,金鼎投资
643,Investor,智汇基金
644,Investor,广州证券新兴1号集合资产管理计划
645,Investor,深圳华睿信泰投资
646,Investor,力合科创(力合创投)
647,Investor,新世界集团
648,Investor,证大投资
649,Investor,昌平科技产业母基金
650,Investor,森阳银瑞
651,Investor,众为资本
652,Investor,宁波鼎锋明德正心投资合伙企业(有限合伙)
653,Investor,深圳市藤信产业投资企业(有限合伙)
654,Investor,布朗什维克基金
655,Investor,DMS国际体育创始人王萱
656,Investor,博裕投资
657,Investor,苏州创投引导金
658,Investor,建信基金
659,Investor,苏州高新创投太湖金谷资管
660,Investor,西藏瑞华资本管理有限公司
661,Investor,胡润百富
662,Investor,北京益保伟业科技有限公司
663,Investor,立讯精密
664,Investor,中国互联网投资
665,Investor,上海斯考安集创业投资中心(有限合伙)
666,Investor,华宝兴业基金管理有限公司
667,Investor,珞珈创新天使基金
668,Investor,长沙麓谷高新创投
669,Investor,雅戈尔投资
670,Investor,地山股权投资
671,Investor,深圳前海君川投资
672,Investor,沨华资本
673,Investor,霍尔果斯顺天华盈股权投资合伙企业(有限合伙)
674,Investor,共青城宁磊投资管理合伙企业(有限合伙)
675,Investor,城市传奇
676,Investor,盖亚投资
677,Investor,执一创见投资管理
678,Investor,工银瑞信
679,Investor,中广互联
680,Investor,同创创投
681,Investor,恒运盛投资
682,Investor,隆华汇投资
683,Investor,山东联合企业管理有限公司
684,Investor,科锐创投
685,Investor,东方国信
686,Investor,SK中国资本
687,Investor,华信润城投资
688,Investor,易方达资产-海通创新-新三板专项资产管理计划(管理人:易方达资产管理有限公司)
689,Investor,甘肃省战略性新兴产业创业投资引导基金
690,Investor,青岛嘉鸿壹号创业投资基金企业(有限合伙)
691,Investor,中山证券新三板精选1号集合资产管理计划
692,Investor,深圳昆仲元昕股权投资合伙企业(有限合伙)
693,Investor,雅利投资
694,Investor,南京毅达投资
695,Investor,深圳久安佳乐股权投资企业(有限合伙)
696,Investor,上汽投资
697,Investor,天治基金管理有限公司
698,Investor,多盈投资
699,Investor,太平资产
700,Investor,天善资本
701,Investor,昆吾九鼎投资
702,Investor,清控水木投资
703,Investor,湖南三森投资有限公司
704,Investor,君岳投资
705,Investor,北京诚明汇投资管理中心(有限合伙)
706,Investor,星火金融
707,Investor,弘晖资本
708,Investor,君重资产
709,Investor,泽贤投资
710,Investor,万科集团
711,Investor,汇添富基金管理股份有限公司
712,Investor,江苏海州湾
713,Investor,初创投资
714,Investor,武汉力天盛世科技发展有限公司
715,Investor,Top Grove
716,Investor,海汇投资
717,Investor,深圳市中广核汇联二号新能源股权投资合伙企业(有限合伙)
718,Investor,方向投资
719,Investor,中国人寿大健康基金
720,Investor,座头鲸旅行
721,Investor,湖南高新投
722,Investor,利欧股份
723,Investor,华安未来资产
724,Investor,中加基金管理有限公司
725,Investor,苏州泓瑞通股权投资合伙企业(有限合伙)
726,Investor,宁夏盛世博瑞投资合伙企业(有限合伙)
727,Investor,万向创业投资股份有限公司
728,Investor,平阳源泉投资合伙企业(有限合伙)
729,Investor,宇鑫九鼎
730,Investor,天使百人会
731,Investor,仰华企业
732,Investor,北京泰生
733,Investor,中联华杰科技有限公司
734,Investor,嘉实投资-嘉实基金
735,Investor,清新资本
736,Investor,创业接力基金
737,Investor,鼎心资本
738,Investor,恒瑞隆投资
739,Investor,华兴新经济基金
740,Investor,招商银行
741,Investor,北汽产业投资基金
742,Investor,中信资本(天津)
743,Investor,魅族科技
744,Investor,申万菱信基金管理有限公司
745,Investor,红桥创投
746,Investor,慧聪网
747,Investor,江苏华睿
748,Investor,赛富动势投资
749,Investor,华成华利创投
750,Investor,谌朴守仁投资管理
751,Investor,上海湖杉
752,Investor,苏宁易购
753,Investor,翰潭投资
754,Investor,东湖百兴
755,Investor,青岛拥湾
756,Investor,兆韧投资
757,Investor,宁波梅山保税港区武当源投资有限公司
758,Investor,汇臻资本管理(深圳)合伙企业(有限合伙)
759,Investor,IBM中国
760,Investor,浪潮软件集团有限公司
